date,all,tourists,non-tourists
2019-03-01,199963,137880,62083
2019-03-02,199963,137880,62083
2019-03-03,177465,115601,61864
2019-03-04,150368,88670,61698
2019-03-05,136090,74512,61578
2019-03-06,125471,64019,61452
2019-03-07,116213,54906,61307
2019-03-08,107900,46742,61158
2019-03-09,117517,56423,61094
2019-03-10,110429,49223,61206
2019-03-11,91759,30451,61308
2019-03-12,90564,29254,61310
2019-03-13,90862,29568,61294
2019-03-14,90928,29695,61233
2019-03-15,103882,42402,61480
2019-03-16,116930,55518,61412
2019-03-17,112999,51498,61501
2019-03-18,90114,28707,61407
2019-03-19,90778,29227,61551
2019-03-20,86407,24723,61684
2019-03-21,87554,25832,61722
2019-03-22,94428,32631,61797
2019-03-23,92323,30751,61572
2019-03-24,96871,35096,61775
2019-03-25,83543,21618,61925
2019-03-26,80503,18589,61914
2019-03-27,80873,18853,62020
2019-03-28,80766,18708,62058
2019-03-29,88332,26140,62192
2019-03-30,97313,35134,62179
2019-03-31,94443,32099,62344
2019-04-01,78555,16102,62453
2019-04-02,77534,15064,62470
2019-04-03,77399,14876,62523
2019-04-04,78173,15658,62515
2019-04-05,82336,19735,62601
2019-04-06,93206,30822,62384
2019-04-07,95797,33350,62447
2019-04-08,85356,22839,62517
2019-04-09,84929,22381,62548
2019-04-10,84708,22116,62592
2019-04-11,85040,22488,62552
2019-04-12,90332,27888,62444
2019-04-13,97552,36364,61188
2019-04-14,96101,35872,60229
2019-04-15,89286,29430,59856
2019-04-16,88759,29313,59446
2019-04-17,91217,32163,59054
2019-04-18,97100,38452,58648
2019-04-19,104002,46479,57523
2019-04-20,107954,50998,56956
2019-04-21,100291,43288,57003
2019-04-22,85011,27407,57604
2019-04-23,73726,15591,58135
2019-04-24,72766,14494,58272
2019-04-25,73385,15053,58332
2019-04-26,77427,18919,58508
2019-04-27,83535,24707,58828
2019-04-28,80996,20760,60236
2019-04-29,74802,14018,60784
2019-04-30,73580,12797,60783
2019-05-01,75575,15004,60571
2019-05-02,73506,13054,60452
2019-05-03,75134,14932,60202
2019-05-04,79347,19411,59936
2019-05-05,76484,16583,59901
2019-05-06,69991,10063,59928
2019-05-07,69942,10180,59762
2019-05-08,71107,11418,59689
2019-05-09,69988,10452,59536
2019-05-10,71392,11956,59436
2019-05-11,76267,17078,59189
2019-05-12,74790,15487,59303
2019-05-13,70067,10687,59380
2019-05-14,69242,9857,59385
2019-05-15,69512,10106,59406
2019-05-16,70448,11090,59358
2019-05-17,72321,13036,59285
2019-05-18,77020,17928,59092
2019-05-19,76333,17176,59157
2019-05-20,71381,12159,59222
2019-05-21,71122,11960,59162
2019-05-22,71879,12721,59158
2019-05-23,72152,13022,59130
2019-05-24,74699,15628,59071
2019-05-25,79894,20978,58916
2019-05-26,77664,18625,59039
2019-05-27,71507,12400,59107
2019-05-28,72322,13153,59169
2019-05-29,73694,14412,59282
2019-05-30,81633,22303,59330
2019-05-31,84523,25186,59337
2019-06-01,87020,27984,59036
2019-06-02,82904,23742,59162
2019-06-03,72971,13664,59307
2019-06-04,73596,14248,59348
2019-06-05,74074,14685,59389
2019-06-06,74321,14985,59336
2019-06-07,64178,5962,58216
2019-06-08,64178,5962,58216
2019-06-09,64178,5962,58216
2019-06-10,64178,5962,58216
2019-06-11,64178,5962,58216
2019-06-12,75111,15988,59123
2019-06-13,75585,16581,59004
2019-06-14,80140,21222,58918
2019-06-15,87464,28922,58542
2019-06-16,84194,25902,58292
2019-06-17,75061,16971,58090
2019-06-18,74231,16342,57889
2019-06-19,74217,16482,57735
2019-06-20,74329,16751,57578
2019-06-21,77014,19571,57443
2019-06-22,87638,30851,56787
2019-06-23,88425,31848,56577
2019-06-24,82771,26112,56659
2019-06-25,75762,19058,56704
2019-06-26,82763,25735,57028
2019-06-27,89538,32240,57298
2019-06-28,100487,42879,57608
2019-06-29,116398,58363,58035
2019-06-30,127206,68360,58846
