date,new_cases,total_cases,new_deaths,total_deaths,new cases (7 day average),new cases (14 day average),cumulative cases (14 day average),S,C,LCG
2020-03-05,0.0,1.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.8181818181818182,0.9999097210380075,1.0000902871130193,
2020-03-06,0.0,1.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.8333333333333334,0.9999120137962367,0.9167473277838485,
2020-03-07,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.8461538461538461,0.9999158314737422,0.8462250716710112,
2020-03-08,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.9285714285714286,0.9999057696641578,1.571576661625198,
2020-03-09,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,1.0714285714285714,0.9998731818894515,1.5716278823070908,
2020-03-10,0.0,1.0,0.0,0.0,0.0,0.35714285714285715,1.4285714285714286,0.9998285327705051,3.9292451653539384,
2020-03-11,0.0,1.0,0.0,0.0,0.14285714285714285,0.9285714285714286,2.357142857142857,0.9997197214200783,10.217149362399857,
2020-03-12,0.0,1.0,0.0,0.0,0.14285714285714285,0.9285714285714286,3.2857142857142856,0.9996036837051344,10.218335407113956,
2020-03-13,0.0,1.0,0.0,0.0,0.5714285714285714,3.7142857142857144,7.0,0.9991379310344828,40.892394921730556,
2020-03-14,1.0,2.0,0.0,0.0,1.8571428571428572,5.285714285714286,12.285714285714286,0.998304674689295,58.2415955940035,
2020-03-15,0.0,2.0,0.0,0.0,1.8571428571428572,5.285714285714286,17.571428571428573,0.9972845502348172,58.301171044078664,
2020-03-16,3.0,5.0,0.0,0.0,7.428571428571429,6.214285714285714,23.785714285714285,0.9961161569144706,68.6236664094308,3.9101030002797166
2020-03-17,9.0,14.0,0.0,0.0,10.571428571428571,8.0,31.785714285714285,0.9946865210227064,88.47008393108723,4.2819071075186965
2020-03-18,0.0,14.0,0.0,0.0,10.428571428571429,9.428571428571429,41.214285714285715,0.9929602928127772,104.44958017454286,4.5533050642811945
2020-03-19,39.0,53.0,0.0,0.0,12.285714285714286,11.642857142857142,52.857142857142854,0.9908716764042927,129.25127604431918,4.861668102985742
