date,entrance_Andorran,entrance_Spanish,entrance_French,entrance_British,entrance_Other,departures_Andorran,departures_Spanish,departures_French,departures_British,departures_Other
2020-01-01,0,0,0,0,0,489,9395,3198,404,2212
2020-01-02,0,0,0,0,0,642,11433,7421,581,3063
2020-01-03,0,0,0,0,0,695,11549,5622,684,3128
2020-01-04,0,0,0,0,0,621,14419,5341,961,3419
2020-01-05,0,0,0,0,0,740,13364,3987,681,2676
2020-01-06,0,0,0,0,0,756,9004,1531,216,1912
2020-01-07,0,0,0,0,0,711,4043,1377,162,1485
2020-01-08,1183,3257,1377,121,1397,515,2639,1315,150,1474
2020-01-09,725,2708,1697,183,1078,530,2702,1592,176,1399
2020-01-10,666,6115,2446,164,1270,570,3344,1260,296,2053
2020-01-11,581,9804,4825,245,2481,474,7896,3575,730,2526
2020-01-12,439,6184,3449,766,1913,585,10959,5803,523,2145
2020-01-13,687,3334,1341,409,1105,501,2587,1258,177,946
2020-01-14,558,2323,1241,155,754,536,2199,1171,105,976
2020-01-15,554,2418,1302,157,899,534,2377,1404,126,1014
2020-01-16,596,2623,1736,174,904,634,2807,1562,204,970
2020-01-17,681,7231,2830,216,1253,606,4979,1402,249,1505
2020-01-18,533,10020,4148,425,2592,484,7480,3104,699,2004
2020-01-19,362,5614,2264,929,2139,555,10433,4950,588,2012
2020-01-20,593,2989,889,442,1164,488,2947,1020,166,891
2020-01-21,463,1990,526,196,777,362,1708,527,124,713
2020-01-22,567,2466,610,254,937,451,1761,569,167,900
2020-01-23,539,3054,853,356,1158,462,2286,570,212,814
2020-01-24,746,9438,3130,357,1780,624,5606,1394,548,1769
2020-01-25,657,11773,4276,458,3227,485,8417,2953,860,2652
2020-01-26,452,8377,3898,1071,2890,673,14491,6293,816,2738
2020-01-27,664,4290,1642,465,1424,532,4153,1696,295,1122
2020-01-28,592,3062,1304,223,947,491,2982,1180,214,1080
2020-01-29,528,2853,1408,159,1109,475,2760,1403,171,1102
2020-01-30,543,3475,1800,304,1295,489,3516,1659,219,1210
2020-01-31,748,8774,3969,313,1790,700,6516,2240,396,2177
2020-02-01,594,12333,6241,542,4334,555,9882,4837,861,3300
2020-02-02,429,7285,4108,1228,3082,707,14417,6720,809,2818
2020-02-03,650,3778,2039,467,1657,541,3751,2201,295,1210
2020-02-04,525,2596,1704,190,1049,499,2695,1762,222,1059
2020-02-05,509,2761,1729,282,1189,509,2623,1694,222,1163
2020-02-06,509,3230,1829,336,1269,552,3024,2009,280,1352
2020-02-07,699,8872,3050,311,1693,676,5280,2535,441,2495
2020-02-08,543,12115,7075,547,3091,511,9421,4962,911,4037
2020-02-09,416,5957,6440,1062,2941,974,14816,6219,976,2827
2020-02-10,582,3057,3430,571,1587,538,3170,2591,363,1215
2020-02-11,529,2236,2453,215,1031,480,2427,2543,328,1327
2020-02-12,533,2496,2642,240,1324,904,3605,3797,905,3640
2020-02-13,214,1729,1547,161,461,1210,5239,6851,1313,3604
2020-02-14,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,1829,8741,6923,2305,6296,561,4686,1738,344,1317
2020-03-03,587,1875,1363,297,1038,542,2517,1158,240,982
2020-03-04,448,1992,1533,321,1040,498,1924,1746,201,1054
2020-03-05,493,2810,1974,382,1050,507,2226,2472,279,1073
2020-03-06,852,6932,2577,365,1465,574,3475,3035,483,1869
2020-03-07,651,9752,4039,454,2233,488,6947,3765,945,2475
2020-03-08,355,5038,4397,969,2549,662,12091,6032,933,2540
2020-03-09,619,2863,1715,593,1606,490,2367,1385,346,944
2020-03-10,554,1881,1495,184,723,600,1912,1406,188,889
2020-03-11,570,2410,2202,318,1048,734,2431,2217,249,1045
2020-03-12,609,2078,2094,334,794,1463,2889,2308,268,1260
2020-03-13,788,2180,2706,246,753,2846,4787,3265,691,2522
2020-03-14,491,617,2487,73,405,1219,1610,4262,1039,2333
2020-03-15,310,216,991,16,184,896,544,1779,613,949
2020-03-16,386,201,129,9,134,1439,417,313,77,401
2020-03-17,320,171,76,9,87,1756,402,149,40,350
2020-03-18,258,112,47,8,66,1195,220,83,17,198
2020-03-19,293,122,48,4,73,1121,232,62,21,176
2020-03-20,427,129,33,7,92,1108,192,84,6,162
2020-03-21,314,83,39,7,48,688,117,55,14,117
2020-03-22,348,78,39,5,66,588,100,43,8,112
2020-03-23,614,149,47,6,91,914,149,61,4,143
2020-03-24,697,134,44,2,85,964,163,63,6,118
2020-03-25,715,129,48,6,93,812,135,56,9,119
2020-03-26,751,130,55,5,104,757,124,59,1,109
2020-03-27,896,152,49,7,100,905,174,57,11,135
2020-03-28,585,91,35,10,105,568,94,27,9,107
2020-03-29,453,83,43,6,87,510,90,36,1,102
2020-03-30,954,145,46,5,92,890,141,45,5,95
2020-03-31,963,140,58,4,113,798,134,53,3,110
2020-04-01,991,149,55,2,117,784,160,60,6,103
2020-04-02,883,142,56,7,113,828,139,58,3,112
2020-04-03,1001,154,59,5,143,977,171,60,5,135
2020-04-04,586,95,39,4,101,622,113,49,6,99
2020-04-05,402,73,39,3,79,510,96,38,5,78
2020-04-06,1130,153,57,5,117,1251,154,53,10,128
2020-04-07,721,136,40,4,102,1036,157,60,4,101
2020-04-08,724,155,45,4,114,949,189,55,6,147
2020-04-09,842,125,52,7,128,1118,174,58,7,139
2020-04-10,590,74,54,5,92,647,92,49,7,106
2020-04-11,579,89,43,5,107,531,79,49,6,100
2020-04-12,487,86,24,3,69,450,90,30,7,63
2020-04-13,578,103,50,6,73,397,92,38,6,62
2020-04-14,1219,177,68,2,108,658,123,40,5,116
2020-04-15,1118,215,72,4,148,685,178,71,6,115
2020-04-16,1257,162,63,11,134,673,146,41,8,99
2020-04-17,1129,152,54,7,207,730,143,49,4,160
2020-04-18,785,112,44,5,96,518,93,37,3,83
2020-04-19,536,89,43,6,98,403,92,45,6,69
2020-04-20,1012,149,52,9,133,662,120,52,9,116
2020-04-21,828,162,69,6,157,621,143,45,8,104
2020-04-22,891,181,50,5,123,672,174,39,8,100
2020-04-23,792,159,62,5,119,664,145,42,2,112
2020-04-24,844,158,62,6,190,679,144,52,5,147
2020-04-25,513,89,49,3,104,433,90,35,3,107
2020-04-26,495,94,34,4,84,359,71,38,4,76
2020-04-27,775,157,49,5,132,494,133,56,4,107
2020-04-28,813,187,68,6,134,494,192,43,6,126
2020-04-29,829,144,62,9,122,578,162,66,9,130
2020-04-30,815,171,46,4,159,619,188,69,4,121
2020-05-01,576,88,41,13,110,329,94,24,4,66
2020-05-02,643,128,45,5,129,333,98,34,8,86
2020-05-03,562,119,46,6,109,363,106,37,7,86
2020-05-04,1187,272,72,6,176,564,180,64,8,110
2020-05-05,755,202,47,5,183,578,151,51,5,105
2020-05-06,751,217,75,6,137,607,197,69,3,119
2020-05-07,651,218,57,8,145,612,183,56,5,120
2020-05-08,631,203,54,3,154,726,197,64,4,141
2020-05-09,409,122,45,3,106,585,131,56,6,108
2020-05-10,330,79,28,3,83,384,85,29,4,59
2020-05-11,558,200,53,6,105,606,161,51,8,108
2020-05-12,665,210,81,10,130,607,240,63,9,128
2020-05-13,593,198,71,2,123,520,189,55,3,136
2020-05-14,438,173,48,7,110,413,168,54,3,124
2020-05-15,524,152,48,3,116,373,154,44,4,106
2020-05-16,525,122,53,7,106,284,79,40,6,60
2020-05-17,623,134,90,7,113,335,118,72,4,103
2020-05-18,824,217,85,7,166,479,172,70,7,126
2020-05-19,803,248,86,6,179,743,238,72,7,190
2020-05-20,627,204,76,7,142,478,210,91,6,139
2020-05-21,550,205,119,3,125,683,211,112,7,172
2020-05-22,518,175,112,2,131,531,199,105,2,125
2020-05-23,427,107,79,4,95,400,112,84,7,105
2020-05-24,333,97,48,5,99,416,98,61,2,130
2020-05-25,529,199,68,2,119,470,192,74,3,108
2020-05-26,610,218,77,6,122,494,209,82,9,117
2020-05-27,561,217,87,2,118,456,182,84,5,100
2020-05-28,489,233,85,4,129,396,223,88,6,101
2020-05-29,555,204,76,4,137,419,194,69,5,113
2020-05-30,415,138,120,4,114,284,116,106,4,80
2020-05-31,382,116,174,4,103,275,109,147,3,63
2020-06-01,601,239,2199,9,176,382,199,1834,4,130
2020-06-02,957,359,1577,5,204,658,325,1384,1,181
2020-06-03,460,246,2218,2,150,458,247,2117,3,137
2020-06-04,515,235,2161,13,202,497,242,2074,7,171
2020-06-05,522,263,2850,11,191,566,245,2612,8,176
2020-06-06,352,125,3650,8,193,389,150,3550,13,223
2020-06-07,245,112,1902,2,123,292,104,2277,8,138
2020-06-08,498,284,2180,7,182,441,240,2080,7,167
2020-06-09,490,334,2217,11,194,411,266,2198,5,171
2020-06-10,508,310,2110,12,210,519,284,2102,11,174
2020-06-11,478,270,2250,9,185,435,274,2278,7,203
2020-06-12,517,291,2625,6,197,539,290,2329,14,214
2020-06-13,418,156,3495,7,235,402,155,3262,7,216
2020-06-14,300,205,2771,6,199,369,190,3244,6,209
2020-06-15,635,294,2046,4,228,550,261,2073,6,230
2020-06-16,454,335,1699,12,220,486,295,1692,9,207
2020-06-17,550,299,1893,12,188,625,329,1887,10,201
2020-06-18,500,386,1954,15,227,839,418,2027,13,268
2020-06-19,535,363,2223,10,249,1051,421,1916,14,277
2020-06-20,347,407,3246,7,283,696,357,3118,13,284
2020-06-21,379,1480,2392,10,380,702,1173,2940,10,422
2020-06-22,721,2074,2078,19,446,922,1619,2009,8,394
2020-06-23,470,1199,1776,11,292,930,1341,2031,19,422
2020-06-24,362,1568,944,9,284,287,1035,753,6,184
2020-06-25,747,2619,1487,14,480,672,2075,1490,18,406
2020-06-26,809,3290,2023,19,559,1089,2199,1631,30,498
2020-06-27,518,4377,2738,15,548,1127,6273,3462,19,791
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0
2020-06-30,1592,2466,1861,34,727,840,1606,1413,19,456
2020-07-01,847,2151,1769,23,557,1148,1858,1761,28,510
2020-07-02,639,2056,1495,21,477,973,1757,1378,20,453
2020-07-03,638,4199,2313,31,701,1714,2271,1830,22,600
2020-07-04,449,6629,4079,33,931,949,5164,3416,30,800
2020-07-05,562,3164,3201,43,657,942,6332,4149,32,871
2020-07-06,923,2530,2221,29,657,1137,2452,2076,34,666
2020-07-07,683,2522,2300,41,606,1518,2484,2212,45,597
2020-07-08,707,2250,2300,38,626,3645,3052,2354,60,763
2020-07-09,417,1776,2112,18,535,4023,2704,2313,35,790
2020-07-10,415,3072,2790,29,653,1439,1908,2283,16,663
2020-07-11,468,4928,4095,46,759,956,4168,2823,42,661
2020-07-12,620,2334,3589,34,638,736,4857,3566,49,790
2020-07-13,797,1810,4428,40,686,807,1602,4610,34,640
2020-07-14,643,1731,3053,37,587,808,1638,4317,45,657
2020-07-15,672,1722,2585,31,658,726,1790,2471,35,658
2020-07-16,776,2075,2751,60,695,744,1830,2647,37,702
2020-07-17,880,3394,3588,35,765,1048,1813,3249,47,637
2020-07-18,816,5632,5962,57,918,684,4179,5335,56,873
2020-07-19,974,2722,4845,62,690,756,5776,5936,62,952
2020-07-20,991,2083,2303,51,654,2243,3806,3572,94,1184
2020-07-21,0,0,0,0,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,0
2020-07-28,2361,4900,4262,107,1416,671,2211,2517,46,772
2020-07-29,883,2667,2890,64,828,841,2567,2895,60,783
2020-07-30,671,2413,2709,41,715,980,2559,2858,49,770
2020-07-31,736,3437,2670,52,780,2199,2518,2542,52,754
2020-08-01,677,5615,3922,72,1080,1217,4139,3473,53,888
2020-08-02,695,3893,3807,48,846,804,5392,4106,45,968
