date,entrance_Andorran,entrance_Spanish,entrance_French,entrance_British,entrance_Other,departures_Andorran,departures_Spanish,departures_French,departures_British,departures_Other
2020-08-03,1124,4392,4450,59,1012,802,3056,3839,58,863
2020-08-04,978,4608,4119,56,926,854,3541,3732,51,855
2020-08-05,876,4295,4100,36,863,1019,4174,4059,47,912
2020-08-06,685,4169,3921,41,854,1184,4378,4258,53,913
2020-08-07,737,4816,3799,30,918,2614,4163,3773,50,966
2020-08-08,704,6635,4779,32,917,1399,5458,4372,30,974
2020-08-09,819,4627,4164,32,799,747,6641,4486,47,900
2020-08-10,1160,6303,4959,38,1081,894,4452,4349,40,911
2020-08-11,747,6235,4661,24,964,761,5331,4425,23,886
2020-08-12,718,5362,4710,35,966,773,5096,4938,32,948
2020-08-13,756,5908,4921,27,928,954,6408,5351,28,1022
2020-08-14,841,5993,4104,32,953,1983,6003,4263,29,1051
2020-08-15,984,7875,4488,31,918,1126,7190,4354,33,974
2020-08-16,1359,5065,4276,24,935,753,7558,4762,25,972
2020-08-17,1686,7411,4476,31,1052,851,5476,4222,30,914
2020-08-18,931,6753,5077,40,1023,795,5644,4915,42,972
2020-08-19,849,6791,4162,51,898,783,6529,4280,42,849
2020-08-20,954,6385,4091,24,887,1000,7118,4310,32,926
2020-08-21,852,6011,3709,40,806,1249,6427,3959,49,921
2020-08-22,1227,7549,4457,53,975,928,7702,4288,40,974
2020-08-23,1899,4658,3457,30,754,782,7705,4212,46,922
2020-08-24,1902,5580,3312,32,900,762,4786,3142,24,770
2020-08-25,1057,5259,2948,23,784,715,4756,2929,31,723
2020-08-26,923,4655,3142,27,712,751,5166,3301,36,692
2020-08-27,862,4034,2853,30,702,882,5141,3261,21,818
2020-08-28,955,4086,2683,22,683,1296,4303,2895,31,736
2020-08-29,1103,4650,3133,15,736,846,4867,3030,21,784
2020-08-30,1472,3142,2902,20,563,777,5935,3601,20,755
2020-08-31,1746,2437,1993,26,592,854,2446,1907,24,526
2020-09-01,1163,2751,1942,24,497,733,2099,1782,26,469
2020-09-02,1065,2929,2079,25,578,856,2616,2014,21,518
2020-09-03,973,2935,1994,16,569,888,2884,1992,24,529
2020-09-04,986,4405,2491,30,702,1276,3174,2047,27,604
2020-09-05,855,6629,3635,37,867,856,5387,3425,29,735
2020-09-06,885,3482,2870,32,526,701,6832,3686,29,818
2020-09-07,1234,2550,1913,23,555,781,2618,1739,21,498
2020-09-08,1038,1933,1297,29,332,537,1785,1149,17,330
2020-09-09,1282,2326,2123,17,539,675,2287,2146,21,499
2020-09-10,998,4250,1927,20,727,787,2610,2046,19,505
2020-09-11,968,11223,2205,27,1124,951,6253,1945,32,763
2020-09-12,762,7260,3675,25,805,716,8503,3243,25,951
2020-09-13,818,2780,3047,28,501,760,9317,3878,28,1000
2020-09-14,1205,1608,1787,21,411,624,1585,1626,28,394
2020-09-15,818,1552,1538,23,460,494,1407,1450,22,399
2020-09-16,652,1071,1101,13,344,482,1106,1219,11,339
2020-09-17,1429,2814,2514,62,567,637,2007,2283,30,479
2020-09-18,886,3332,2425,22,494,831,1747,1991,16,388
2020-09-19,712,5074,4496,23,700,668,3527,3887,24,522
2020-09-20,774,2230,3291,26,477,705,5728,4589,39,793
2020-09-21,888,1498,1742,21,416,580,1370,1680,19,342
2020-09-22,627,1631,1680,11,434,604,1392,1626,12,330
2020-09-23,639,1918,1810,19,441,589,1674,1899,21,429
2020-09-24,627,2884,1719,17,477,617,2079,1754,20,419
2020-09-25,708,3929,1995,20,544,587,2188,1456,19,411
2020-09-26,562,5004,3330,21,621,469,4125,2752,22,538
2020-09-27,599,2347,2536,22,449,560,6359,3716,23,753
2020-09-28,846,1499,1261,27,401,462,1459,1184,25,346
2020-09-29,723,1680,1577,23,355,543,1693,1539,26,399
2020-09-30,701,1443,1860,13,317,1572,2429,2583,36,575
2020-10-01,0,0,0,0,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0,0,0,0
2020-10-03,0,0,0,0,0,0,0,0,0,0
2020-10-04,0,0,0,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0,0,0,0,0
2020-10-06,0,0,0,0,0,0,0,0,0,0
2020-10-07,1813,2746,2156,77,603,642,1558,1485,57,338
2020-10-08,668,2438,2257,19,561,680,1776,2256,11,463
2020-10-09,703,7387,2585,24,796,795,2304,2237,26,447
2020-10-10,585,11012,5450,25,1111,589,5602,5149,31,719
2020-10-11,410,8337,3779,17,859,582,9926,4468,24,1007
2020-10-12,578,3358,1287,25,531,988,12532,1375,24,1234
2020-10-13,642,1549,1552,15,372,739,2089,1534,18,418
2020-10-14,553,1219,1088,14,325,565,1304,1167,16,315
2020-10-15,586,1347,889,14,376,630,1341,885,12,348
2020-10-16,806,3170,2163,17,539,786,1620,1583,25,396
2020-10-17,605,5405,4847,29,779,587,3807,3807,21,600
2020-10-18,524,2224,4151,15,502,519,5527,5070,18,783
2020-10-19,759,1402,2673,12,370,641,1484,2465,12,347
2020-10-20,630,1325,2107,11,351,512,1203,2012,8,329
2020-10-21,665,1324,2032,19,392,688,1309,2155,17,395
2020-10-22,587,1356,2201,10,365,685,1265,2270,15,361
2020-10-23,736,3198,3274,14,577,1383,1673,2573,8,456
2020-10-24,623,5817,5209,17,863,837,4202,4431,18,703
2020-10-25,472,2543,4486,9,528,621,5905,5663,19,877
2020-10-26,778,1249,2267,11,368,0,0,0,0,0
2020-10-27,559,1317,2626,17,346,0,0,0,0,0
2020-10-28,580,1283,3788,30,389,0,0,0,0,0
2020-10-29,734,1846,4678,17,431,0,0,0,0,0
2020-10-30,833,559,395,12,243,0,0,0,0,0
2020-10-31,739,226,266,7,176,0,0,0,0,0
