date,users making trips,total trips,mean trips,median trips
2020-03-11,67395,552604,6.944093290943591,4.0
2020-03-12,67720,572964,7.16169191540423,5.0
2020-03-13,67646,572985,7.103706917927101,4.0
2020-03-14,47316,373072,5.910238740237315,3.0
2020-03-15,37885,299114,5.749870244708868,2.0
2020-03-16,43138,376943,6.892735019291605,4.0
2020-03-17,41616,354336,6.657572853841384,3.0
2020-03-18,37505,310592,6.238916899343149,3.0
2020-03-19,36761,299373,6.117268436216515,3.0
2020-03-20,35402,287733,6.059833199949455,3.0
2020-03-21,30373,241850,5.650040883074407,2.0
2020-03-22,28339,225687,5.509532993188976,2.0
2020-03-23,33827,271570,5.88488959195614,3.0
2020-03-24,34160,279100,5.99004163626218,3.0
2020-03-25,32785,261535,5.772252753316118,2.0
2020-03-26,33237,267820,5.8713142606598705,3.0
2020-03-27,33887,268031,5.799779287661748,3.0
2020-03-28,29259,233090,5.616355838272854,2.0
2020-03-29,27856,218821,5.480664228823323,2.0
2020-03-30,33178,260988,5.750027539712265,3.0
2020-03-31,33561,268563,5.866638996898073,3.0
2020-04-01,35382,290213,6.2368477606808215,3.0
2020-04-02,34783,282581,6.128011623620237,3.0
2020-04-03,36032,296218,6.278066252675752,3.0
2020-04-04,30525,242316,5.830931010419424,3.0
2020-04-05,28050,225506,5.72800934745612,2.0
2020-04-06,36396,291448,6.120799731182796,3.0
2020-04-07,34273,278757,6.153847852002296,3.0
2020-04-08,34370,276947,6.124571529666733,3.0
2020-04-09,35041,281403,6.131853046282576,3.0
2020-04-10,30611,244652,5.885018762628692,3.0
2020-04-11,30117,237539,5.802125061064973,3.0
2020-04-12,28253,227212,5.7794170015770465,2.0
2020-04-13,28645,227669,5.7304052353385355,3.0
2020-04-14,35595,285251,6.175333391063387,3.0
2020-04-15,35764,287164,6.166684562028904,3.0
2020-04-16,36775,295597,6.260526092849881,3.0
2020-04-17,36933,297895,6.293201791448369,3.0
2020-04-18,33516,261310,5.934682382866617,3.0
2020-04-19,30071,235884,5.774535484344782,3.0
2020-04-20,38444,314583,6.472102209603753,4.0
2020-04-21,37707,307558,6.4074583333333335,3.0
2020-04-22,39351,319068,6.474725542320258,4.0
2020-04-23,39288,319013,6.483608723045343,4.0
2020-04-24,39718,319428,6.43035732259688,4.0
2020-04-25,33787,265043,5.99956991194513,3.0
2020-04-26,31900,246021,5.803203283483512,3.0
2020-04-27,38960,315726,6.438788620373203,4.0
2020-04-28,40465,331499,6.5962074180197385,4.0
2020-04-29,40719,337022,6.6563043134776425,4.0
2020-04-30,42026,345613,6.6939048246208674,4.0
2020-05-01,35613,281186,6.1031863170689356,3.0
2020-05-02,38148,303341,6.330814984869039,4.0
2020-05-03,36762,291794,6.2377135039227,3.0
2020-05-04,44766,390307,7.256665303238761,5.0
2020-05-05,44794,391891,7.30431297994483,5.0
2020-05-06,45323,393859,7.2624834046319515,5.0
2020-05-07,44908,387491,7.168855916524828,5.0
2020-05-08,45331,389621,7.161097632701074,5.0
2020-05-09,39426,322009,6.568797046163889,4.0
2020-05-10,33274,259948,5.913150292304542,3.0
2020-05-11,43211,368668,6.991485084675049,4.0
2020-05-12,45103,385633,7.1236745852883585,5.0
2020-05-13,44263,376258,7.022752300427422,4.0
2020-05-14,42562,356936,6.8536098310291855,4.0
2020-05-15,43185,361754,6.885568540865659,4.0
2020-05-16,38526,300557,6.238987835762029,4.0
2020-05-17,39780,310369,6.335354153908961,4.0
2020-05-18,47133,405437,7.3078046142754145,5.0
2020-05-19,48073,415406,7.3477668700804815,5.0
2020-05-20,47594,409170,7.3409523126054035,5.0
2020-05-21,46579,385462,6.9850318933024065,5.0
2020-05-22,46946,388579,7.0176081774181895,5.0
2020-05-23,41818,320617,6.328674917589467,4.0
2020-05-24,38095,273017,5.750874162699583,3.0
2020-05-25,44890,346273,6.429966761368911,4.0
2020-05-26,47222,383675,6.907462417859393,5.0
2020-05-27,45994,361127,6.5993019260991925,4.0
2020-05-28,46641,372502,6.753852848388149,5.0
2020-05-29,47685,390100,6.994173016584491,5.0
2020-05-30,43126,343782,6.687715202801284,4.0
2020-05-31,41085,316270,6.352589081267826,4.0
2020-06-01,44483,339389,6.202964506342069,4.0
2020-06-02,52344,458457,7.537559804679151,5.0
2020-06-03,47553,386588,6.706706915096631,4.0
2020-06-04,49393,411486,6.948664257489277,5.0
2020-06-05,51729,442386,7.2298288908137085,5.0
2020-06-06,46299,356399,6.270545595298837,4.0
2020-06-07,38276,265059,5.342315831905673,3.0
2020-06-08,49880,412707,6.963051070506656,5.0
2020-06-09,50531,414761,6.908077948034643,5.0
2020-06-10,51097,427481,7.057169742793938,5.0
2020-06-11,50189,423641,7.081692353983485,5.0
2020-06-12,52394,451758,7.339214348377035,5.0
2020-06-13,46468,357662,6.284253435007204,4.0
2020-06-14,42209,301764,5.6448800927831195,3.0
2020-06-15,51051,429249,7.113720355976865,5.0
2020-06-16,49747,410021,6.946800399844129,5.0
2020-06-17,51183,425527,7.055779402742543,5.0
2020-06-18,51201,432208,7.146768966201468,5.0
2020-06-19,51109,425565,7.081066240702841,5.0
2020-06-20,42942,322393,6.097497777693719,4.0
2020-06-21,42077,294406,5.516526757607555,3.0
2020-06-22,52321,432335,7.023442069010332,5.0
2020-06-23,47228,301780,5.247891487696722,4.0
2020-06-24,32478,148522,3.379955395748942,2.0
2020-06-25,51149,417183,6.964192708333333,5.0
2020-06-26,52925,426554,6.87358396313067,5.0
2020-06-27,43330,267525,4.96151706231454,3.0
2020-06-30,51748,434033,7.214884138435453,5.0
2020-07-01,53391,450729,7.27216844143272,5.0
2020-07-02,50617,374791,6.28222062052666,4.0
2020-07-03,54266,439221,6.86765694629036,5.0
2020-07-04,49813,365821,6.022339654945345,4.0
2020-07-05,46897,317115,5.335402786190188,3.0
2020-07-06,52324,424865,6.923572068768842,5.0
2020-07-07,54219,457570,7.296952493342051,5.0
2020-07-08,54034,452970,7.2174952198852775,5.0
2020-07-09,46995,389200,6.8917889965116075,5.0
2020-07-10,43216,353323,6.838597917392483,5.0
2020-07-11,39977,303310,6.16195680880889,4.0
2020-07-12,37919,264391,5.457887783328516,3.0
2020-07-13,44156,364026,6.844523831907493,5.0
2020-07-14,43512,359689,6.9312251898099975,5.0
2020-07-15,42130,337605,6.743872475579793,5.0
2020-07-16,42716,352152,6.976898997503665,5.0
2020-07-17,44479,350084,6.5914294321433955,4.0
2020-07-18,43535,328905,6.1342273117236745,4.0
2020-07-19,40952,283264,5.466411933846659,3.0
2020-07-20,40268,309275,6.336174223023499,4.0
2020-07-28,43394,345115,6.663738173392547,5.0
2020-07-29,45094,373557,6.952225861683913,5.0
2020-07-30,44455,361343,6.801878623597621,5.0
2020-07-31,44601,348809,6.4844028851873885,4.0
2020-08-01,40754,285102,5.552564951505473,3.0
2020-08-02,38891,251745,5.021342375585918,3.0
2020-08-03,43768,317345,5.854533714601974,4.0
2020-08-04,48382,377873,6.483194646993223,4.0
2020-08-05,49126,380388,6.386528097244842,4.0
2020-08-06,47722,360483,6.161786575047434,4.0
2020-08-07,47992,358792,6.120641419310815,4.0
2020-08-08,43077,291617,5.276607679224116,3.0
2020-08-09,39205,242209,4.63699888961213,3.0
2020-08-10,47272,342035,5.832395470977423,4.0
2020-08-11,49036,355019,5.876435925447744,4.0
2020-08-12,48096,345732,5.76306445966895,4.0
2020-08-13,49884,363175,5.87595256200754,4.0
2020-08-14,48291,350000,5.813470641973258,4.0
2020-08-15,43708,286620,5.111824505082932,3.0
2020-08-16,40881,251837,4.657179842810911,3.0
2020-08-17,47696,341472,5.732762528330396,4.0
2020-08-18,49167,353678,5.772826690170731,4.0
2020-08-19,49281,347914,5.664691132892638,4.0
2020-08-20,50056,363732,5.876217709494499,4.0
2020-08-21,47601,335875,5.634163116046566,4.0
2020-08-22,44708,297051,5.20758388555801,3.0
2020-08-23,41392,256626,4.766544698081317,3.0
2020-08-24,46119,335952,5.9086144429983465,4.0
2020-08-25,46968,355356,6.20774229613584,4.0
2020-08-26,47359,357398,6.1983697537287545,4.0
2020-08-27,45895,346065,6.15489275424181,4.0
2020-08-28,44526,329477,6.024116431718867,4.0
2020-08-29,38550,256180,5.178596696921304,3.0
2020-08-30,36598,223013,4.635577542663535,3.0
2020-08-31,40289,298908,6.110513727334055,4.0
2020-09-01,41261,312147,6.290369385164138,4.0
2020-09-02,42960,329133,6.388699095461781,4.0
2020-09-03,43628,337439,6.472284026392512,5.0
2020-09-04,44693,336774,6.218475912624407,4.0
2020-09-05,41185,277807,5.307940693186595,3.0
2020-09-06,36034,216866,4.523130188128311,2.0
2020-09-07,39169,293418,6.2015048400050725,4.0
2020-09-08,32502,206956,4.8997585112931485,3.0
2020-09-09,43317,335293,6.459121556540166,5.0
2020-09-10,45088,344766,6.331092992507712,4.0
2020-09-11,53152,405334,6.308111304780876,4.0
2020-09-12,48041,330295,5.457617316589557,3.0
2020-09-13,41274,254268,4.703092630955904,3.0
2020-09-14,42111,325834,6.482839577405941,5.0
2020-09-15,41834,320679,6.4685627836611195,5.0
2020-09-16,38422,247236,5.3029900047188026,4.0
2020-09-17,48586,453880,8.056946071644122,6.0
2020-09-18,49140,441211,7.691292600017432,6.0
2020-09-19,46488,373745,6.578627754699712,4.0
2020-09-20,44477,320910,5.7579889831876985,3.0
2020-09-21,45727,416406,7.7940703028488,6.0
2020-09-22,46715,435045,8.056687284714249,6.0
2020-09-23,47811,446321,8.057208361916453,6.0
2020-09-24,47992,439485,7.873676478492215,6.0
2020-09-25,49508,435691,7.5059607897184994,5.0
2020-09-26,46142,365484,6.501770053190543,4.0
2020-09-27,42985,307508,5.642348623853211,3.0
2020-09-28,45756,417279,7.858657576556555,6.0
2020-09-29,47097,442628,8.142681064773083,6.0
2020-09-30,47281,445164,8.147516380541015,6.0
2020-10-07,47283,456610,8.37908760597497,6.0
2020-10-08,48462,452610,8.007253427686864,6.0
2020-10-09,53407,472848,7.48496984471214,5.0
2020-10-10,55185,415358,6.0457919711216555,4.0
2020-10-11,54633,394209,5.709698444425133,3.0
2020-10-12,56258,482375,7.24047611899973,5.0
2020-10-13,47050,433564,7.895902385722091,6.0
2020-10-14,44376,373270,7.147343226424127,5.0
2020-10-15,45322,418989,7.977551836408294,6.0
2020-10-16,48223,437215,7.727377165075999,6.0
2020-10-17,46835,363071,6.305286374214164,4.0
2020-10-18,43193,307524,5.53927625772286,3.0
2020-10-19,47271,427434,7.731044711329764,6.0
2020-10-20,46173,408852,7.536859181152875,5.0
2020-10-21,47477,436942,7.900587650302866,6.0
2020-10-22,46482,422833,7.7385248901903365,6.0
2020-10-23,49880,445388,7.595163793250456,6.0
2020-10-24,47887,366138,6.164769665948276,4.0
2020-10-25,43311,302535,5.451572213712947,3.0
2020-10-26,44864,399186,7.566503023295487,5.0
2020-10-27,45621,411879,7.686604210212003,5.0
2020-10-28,46238,419586,7.5914313111758425,5.0
2020-10-29,47651,425297,7.356934041412237,5.0
2020-10-30,44942,422038,8.222053380089616,6.0
2020-10-31,40293,351453,7.468506948871605,5.0
