date,users making trips,total trips,mean trips,median trips
2020-01-01,73063,531963,5.789632354541695,3.0
2020-01-02,92473,696547,6.284993728964963,4.0
2020-01-03,89661,691506,6.485219642120269,4.0
2020-01-04,82706,595940,5.914508877618872,4.0
2020-01-05,73210,523706,5.805667028800745,4.0
2020-01-06,60745,432699,5.665453355155483,3.0
2020-01-07,67044,554615,7.046040679430336,5.0
2020-01-08,67288,575513,7.361854812919732,5.0
2020-01-09,67498,582082,7.426504548412202,5.0
2020-01-10,70772,597110,7.150504155390032,5.0
2020-01-11,72576,548148,6.2335588787172345,4.0
2020-01-12,66892,468877,5.578747605506443,3.0
2020-01-13,66153,557225,7.240825926503456,5.0
2020-01-14,66184,568984,7.430220562309832,5.0
2020-01-15,66598,573823,7.443063752513133,5.0
2020-01-16,67141,583483,7.4759506970069705,5.0
2020-01-17,71058,580003,6.874598489966694,5.0
2020-01-18,72249,543440,6.211594732991953,4.0
2020-01-19,65850,450411,5.415611586047686,3.0
2020-01-20,65816,545263,7.075181335720866,5.0
2020-01-21,64825,555114,7.375558035714286,5.0
2020-01-22,65821,588710,7.700588620013081,5.0
2020-01-23,67559,582720,7.375922433325317,5.0
2020-01-24,78137,648762,7.048925975422928,5.0
2020-01-25,79685,608979,6.357039959914819,4.0
2020-01-26,77829,538499,5.617849877419018,3.0
2020-01-27,73425,611161,7.164085852606408,5.0
2020-01-28,71756,612376,7.370387309534699,5.0
2020-01-29,70582,598062,7.244670026165326,5.0
2020-01-30,73105,619304,7.277880931675559,5.0
2020-01-31,79807,653667,6.877519885526703,5.0
2020-02-01,83306,626784,6.207810472728713,4.0
2020-02-02,77570,539776,5.594751189377999,3.0
2020-02-03,73777,622863,7.2794983871721755,5.0
2020-02-04,72300,626587,7.504395420139887,5.0
2020-02-05,72509,623190,7.421225617453021,5.0
2020-02-06,73143,621236,7.320975287837185,5.0
2020-02-07,78505,635656,6.788005638375123,4.0
2020-02-08,81517,605380,6.089606888504406,4.0
2020-02-09,75778,520504,5.452587471192122,3.0
2020-02-10,74004,632570,7.333719784360327,5.0
2020-02-11,73105,634959,7.488872114828924,5.0
2020-02-12,74038,636408,7.410346875327488,5.0
2020-02-13,48770,391944,6.238563651991214,4.0
2020-03-02,70640,573065,6.756089222135767,4.0
2020-03-03,67786,573473,7.15910566263857,4.0
2020-03-04,67110,542712,6.782458727520402,4.0
2020-03-05,68958,583466,7.132574599953547,4.0
2020-03-06,72300,594470,6.773660582028668,4.0
2020-03-07,70909,551307,6.232767684533028,3.0
2020-03-08,65394,453150,5.302852996934023,3.0
2020-03-09,65638,531454,6.796434600235306,4.0
2020-03-10,63290,520117,6.868860685939172,4.0
