date,trips between parishes,users making trips between parishes,users making trips,total trips,users present,entrances,stay home users,portion of users staying home,fraction of people not staying home,trips between parishes from La Massana,trips between parishes from Sant Julià de Lòria,90th percentile trips,indoor interaction potential,outdoor interaction potential,interaction potential
2020-07-12,66271,54818,37919,264391,72255.0,6335.0,18562,0.37837617465397394,0.621623825346026,8393,6151,11.0,153383.14484126985,221164.43849206343,374547.58333333326
2020-07-13,101016,80118,44156,364026,70071.0,6880.0,12999,0.27298500567012474,0.7270149943298753,12038,9648,15.0,323709.3452380952,349295.7380952381,673005.0833333333
2020-07-14,100771,79415,43512,359689,68532.0,5303.0,12672,0.2688334005133971,0.7311665994866029,12229,9626,15.0,302271.5714285714,335623.2757936507,637894.8472222221
2020-07-15,97393,77342,42130,337605,66777.0,4818.0,12750,0.27552078831359667,0.7244792116864034,11961,9211,15.0,279179.1924603175,290447.32142857136,569626.5138888889
2020-07-16,102710,81796,42716,352152,67206.0,5400.0,12772,0.2754248253256275,0.7245751746743725,12433,9874,15.0,307483.8511904761,329188.25992063485,636672.111111111
2020-07-17,99690,79884,44479,350084,69492.0,7562.0,12803,0.26692936368943376,0.7330706363105662,12443,9490,14.0,288579.4484126985,315135.9543650793,603715.4027777779
2020-07-18,88637,72585,43535,328905,75873.0,12274.0,17287,0.3525944358325855,0.6474055641674146,11114,8087,13.0,215755.3849206349,272626.3789682541,488381.763888889
2020-07-19,71100,58066,40952,283264,73795.0,8182.0,17344,0.3568136932192232,0.6431863067807768,8662,6022,12.0,142652.42063492062,216259.7876984127,358912.20833333326
2020-07-20,90996,72003,40268,309275,66387.0,5071.0,13873,0.3010503016362137,0.6989496983637863,10688,8570,14.0,268413.8015873017,296902.5595238093,565316.361111111
2020-07-28,104475,81541,43394,345115,68037.0,10996.0,12401,0.26899049932757796,0.731009500672422,12024,8714,15.0,279939.6468253969,387255.4920634921,667195.138888889
2020-07-29,114002,87848,45094,373557,68918.0,6475.0,11481,0.24746201099256385,0.7525379890074362,12422,10407,15.0,374956.29166666657,501923.6944444442,876879.9861111108
2020-07-30,111902,86367,44455,361343,68366.0,5844.0,11504,0.2490097188250828,0.7509902811749172,12021,10085,15.0,339413.84523809515,472094.8075396824,811508.6527777775
2020-07-31,108861,85395,44601,348809,68878.0,6880.0,11553,0.24894951192707995,0.7510504880729201,12100,10262,14.0,311995.7003968254,424665.85515873006,736661.5555555555
2020-08-01,86688,70091,40754,285102,72577.0,10545.0,15055,0.3336509906475777,0.6663490093524223,9496,8050,12.0,222826.3948412698,321176.5357142857,544002.9305555555
2020-08-02,73691,59997,38891,251745,72271.0,8482.0,15825,0.34802401530645904,0.6519759846935409,7832,6113,10.0,170772.70039682536,268808.06349206355,439580.76388888893
2020-08-03,99442,79220,43768,317345,71772.0,9890.0,12369,0.2738806961604889,0.7261193038395111,10999,9432,13.0,251764.7876984127,345054.7956349206,596819.5833333333
2020-08-04,117258,92131,48382,377873,73708.0,9728.0,10621,0.2318691874426931,0.7681308125573069,12370,10771,14.0,393571.0476190476,473431.8968253968,867002.9444444444
2020-08-05,118250,93263,49126,380388,74868.0,9299.0,10783,0.2327835585682829,0.7672164414317171,12584,10533,14.0,382730.5376984127,466979.1567460318,849709.6944444445
2020-08-06,110903,88666,47722,360483,74433.0,8860.0,11316,0.24435854801442483,0.7556414519855752,11998,10457,14.0,287613.3789682539,364064.34325396846,651677.7222222221
2020-08-07,111903,88942,47992,358792,74064.0,9426.0,11232,0.2386385365542737,0.7613614634457263,11692,10320,14.0,388569.5932539682,435386.0595238095,823955.6527777779
2020-08-08,86970,70950,43077,291617,76044.0,12126.0,15479,0.3287528672160394,0.6712471327839606,9011,7988,11.0,278370.5198412698,349673.1884920635,628043.7083333333
2020-08-09,68321,56233,39205,242209,74354.0,9435.0,16596,0.35719512720072316,0.6428048727992768,7177,5990,10.0,190764.52976190476,285446.5813492062,476211.111111111
2020-08-10,104756,83487,47272,342035,74920.0,12476.0,12011,0.2603446407282974,0.7396553592717026,10286,10570,13.0,381966.2202380952,417013.9325396824,798980.1527777775
2020-08-11,109072,87835,49036,355019,77038.0,11801.0,11957,0.25678635856026116,0.7432136414397388,11529,10106,13.0,400427.44642857154,440664.1369047617,841091.5833333333
2020-08-12,107689,86905,48096,345732,77416.0,10963.0,12496,0.26635972204459224,0.7336402779554078,11187,9797,13.0,394856.6607142857,423529.51984126976,818386.1805555555
2020-08-13,111509,89345,49884,363175,78071.0,11580.0,11861,0.2526896610494472,0.7473103389505529,11635,10031,13.0,404719.97420634923,451877.45634920633,856597.4305555555
2020-08-14,107585,86005,48291,350000,76335.0,10998.0,12280,0.2575611393095348,0.7424388606904653,11105,9928,13.0,388682.4900793649,435299.20436507935,823981.6944444444
2020-08-15,85477,70167,43708,286620,77747.0,13287.0,16318,0.34408738191632926,0.6559126180836707,8728,8011,11.0,285097.9464285714,367242.5396825397,652340.4861111111
2020-08-16,72727,61229,40881,251837,75643.0,10538.0,16538,0.3516628391596496,0.6483371608403504,8082,6293,10.0,139485.71230158734,262998.4821428571,402484.19444444455
2020-08-17,105179,83805,47696,341472,75762.0,13335.0,12406,0.2652781935594235,0.7347218064405765,10481,10658,13.0,365657.37896825396,416823.8293650793,782481.2083333333
2020-08-18,109202,87953,49167,353678,78110.0,12917.0,12504,0.26510059999575974,0.7348994000042403,11108,10374,13.0,416287.48015873006,464277.755952381,880565.2361111111
